SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Other,879 Ridge Lake Dr,Melbourne,FL,32940,410000,3,2.0,Suntree S of Wickham,1792,3485,1989,4,229,411,Active,,,https://www.redfin.com/FL/Melbourne/879-Ridge-Lake-Dr-32940/home/123459687,SCMLS,981456,N,Y,28.2095682,-80.6900132
MLS Listing,,Townhouse,22 Emerald Ct,Satellite Beach,FL,32937,334900,2,2.5,Satellite Bch/Indian Harbour Bch,1480,2614,1979,10,226,261,Active,,,https://www.redfin.com/FL/Satellite-Beach/22-Emerald-Ct-32937/home/122665441,SCMLS,981094,N,Y,28.1862941,-80.606965
MLS Listing,,Condo/Co-op,5683 Star Rush Dr #202,Melbourne,FL,32940,299999,3,2.0,LAKES/VIERA EAST CONDO,1278,5663,2003,12,235,493,Active,,,https://www.redfin.com/FL/Melbourne/5683-Star-Rush-Dr-32940/unit-202/home/123113855,Stellar MLS as Distributed by MLS Grid,T3487746,N,Y,28.2612306,-80.7195895
MLS Listing,,Vacant Land,718 Barefoot Blvd,Barefoot Bay,FL,32976,68000,,,Barefoot Bay/Micco,,3920,,21,,,Active,,,https://www.redfin.com/FL/Barefoot-Bay/718-Barefoot-Blvd-32976/home/121379302,SCMLS,980277,N,Y,27.8881341,-80.5184706
MLS Listing,,Condo/Co-op,5600 N Banana River Blvd #9,Cocoa Beach,FL,32931,239900,2,1.0,Cocoa Beach,759,1307,1965,32,316,350,Active,,,https://www.redfin.com/FL/Cocoa-Beach/5600-N-Banana-River-Blvd-32931/unit-9/home/120796877,SCMLS,979365,N,Y,28.3687371,-80.608655
MLS Listing,,Single Family Residential,1303 Great Belt Cir,Melbourne,FL,32940,699999,3,3.5,Viera West of I 95,2807,16988,2021,52,249,416,Active,December-16-2023 01:00 PM,December-16-2023 03:00 PM,https://www.redfin.com/FL/Melbourne/1303-Great-Belt-Cir-32940/home/177161167,SCMLS,977589,N,Y,28.199045,-80.7322905
MLS Listing,,Single Family Residential,4280 Capron Rd,Titusville,FL,32780,274000,3,2.0,Titusville Garden - SR50,1285,6098,1960,68,213,,Active,,,https://www.redfin.com/FL/Titusville/4280-Capron-Rd-32780/home/123584089,SCMLS,976198,N,Y,28.5633767,-80.8037491
MLS Listing,,Single Family Residential,997 Hood St NW,Palm Bay,FL,32907,375000,3,2.0,NW Palm Bay,1814,16117,1990,111,207,,Active,,,https://www.redfin.com/FL/Palm-Bay/997-Hood-St-NW-32907/home/122905946,SCMLS,972553,N,Y,28.0259023,-80.6984618
MLS Listing,,Vacant Land,5630 Us-1,Mims,FL,32754,270000,,,Mims/Scottsmoor,,60548,,116,,,Active,,,https://www.redfin.com/FL/Mims/5630-Us-Highway-1-32754/home/123294779,SCMLS,972187,N,Y,28.7573609,-80.8752212
MLS Listing,,Single Family Residential,958 Dusseldorf Ave NW,Palm Bay,FL,32907,365000,3,2.0,NW Palm Bay,1962,10019,2017,1,186,,Active,,,https://www.redfin.com/FL/Palm-Bay/958-Dusseldorf-Ave-NW-32907/home/120527126,SCMLS,981443,N,Y,28.0222038,-80.6933927
MLS Listing,,Single Family Residential,1776 Litchfield Dr,Melbourne,FL,32904,445100,3,2.0,West Melbourne,1869,6098,2014,1,238,33,Active,,,https://www.redfin.com/FL/Melbourne/1776-Litchfield-Dr-32904/home/119990110,SCMLS,981665,N,Y,28.044729,-80.6507966
MLS Listing,,Condo/Co-op,1025 Highway A1a #606,Satellite Beach,FL,32937,1550000,3,3.0,Satellite Bch/Indian Harbour Bch,2472,1742,2019,1,627,900,Active,,,https://www.redfin.com/FL/Satellite-Beach/1025-Highway-A1A-32937/unit-606/home/173766931,SCMLS,981601,N,Y,28.1859734,-80.5927368
MLS Listing,,Single Family Residential,502 Kennwood Ave,Merritt Island,FL,32952,350000,3,1.0,S Merritt Island,1120,6970,1959,1,313,,Active,,,https://www.redfin.com/FL/Merritt-Island/502-Kennwood-Ave-32952/home/123613921,SCMLS,980729,N,Y,28.3489579,-80.6951691
MLS Listing,,Vacant Land,917 Nevada Dr NE,Palm Bay,FL,32907,79999,,,Central Palm Bay,,14810,,1,,,Active,,,https://www.redfin.com/FL/Palm-Bay/917-Nevada-Dr-Ne-32907/home/122760001,SCMLS,981669,N,Y,28.021364,-80.64767
